Ch_1,Ch_2,Ch_3,Ch_4,Sample
28.687,42.522,21.091,5.0178,312
16.784,22.087,2.3445,-5.9231,313
18.58,27.981,5.7959,0.24669,314
19.35,29.333,10.886,0.42284,315
29.527,42.848,26.447,13.689,316
21.574,30.269,19.188,12.915,317
26.328,37.28,20.008,11.821,318
26.877,35.061,16.987,7.7628,319
37.139,43.223,28.871,20.858,320
40.8,48.317,34.286,28.194,321
31.814,37.625,25.395,26.414,322
27.836,33.109,19.982,24.512,323
36.045,38.477,29.368,33.738,324
44.096,50.489,43.628,45.844,325
32.959,26.854,31.469,31.27,326
36.927,41.718,32.326,31.406,327
18.813,17.379,11.49,10.843,328
30.096,40.819,19.296,19.933,329
22.786,25.053,6.7933,12.009,330
33.088,35.934,15.794,20.089,331
30.931,40.742,9.5666,14.598,332
23.753,30.458,0.58591,6.5587,333
8.566,15.579,-12.407,-3.2138,334
0.42172,13.153,-11.723,-1.352,335
1.4378,14.75,-5.4126,-1.0222,336
0.66028,6.2512,-0.41888,1.1599,337
9.2055,22.386,13.21,16.233,338
3.389,13.765,-1.0857,7.7359,339
2.5728,19.253,-4.8804,7.8314,340
-5.5545,-3.2722,-3.3134,5.1402,341
-9.6087,-3.5134,-3.2624,1.4961,342
0.73858,27.379,-19.39,-13.894,343
10.578,33.681,-15.819,-11.809,344
10.447,9.7825,-11.99,-5.6939,345
17.908,27.933,1.1112,4.787,346
-7.8611,2.4577,-9.7073,-10.312,347
-0.75767,13.342,-1.5396,-2.5092,348
-9.1415,1.3204,-10.35,-8.8758,349
-5.9611,3.8686,-4.4824,-6.1152,350
-1.6437,9.2119,-7.4869,-11.582,351
-11.285,0.48923,-23.467,-24.431,352
-14.689,1.5833,-24.937,-21.088,353
-15.655,-6.5677,-26.305,-23.52,354
-8.8063,7.5124,-20.522,-22.236,355
-4.7762,2.2209,-13.261,-14.987,356
4.5757,14.553,-0.081602,0.75288,357
6.6401,6.3122,-1.6051,3.8489,358
7.7771,6.898,5.4064,11.07,359
-11.58,-14.326,-9.1548,-3.0995,360
-2.4076,-4.396,3.0461,3.3752,361
-0.73138,-2.3615,2.8388,-1.4792,362
-3.173,3.8434,-1.5446,-3.4759,363
-7.302,-4.8778,-7.0031,-4.6598,364
-13.667,-14.648,-11.575,-8.7715,365
-10.354,-11.9,-14.127,-10.883,366
0.33462,-3.5859,1.2731,6.1629,367
-3.5029,-10.198,6.6838,13.134,368
-5.2359,-21.492,18.717,27.172,369
-4.547,-22.219,23.541,28.295,370
8.5948,1.9622,13.255,9.6282,371
-5.1225,-0.022698,-2.5537,-5.9638,372
-19.848,-21.375,-4.6226,-9.4362,373
-9.9206,-9.7552,14.583,7.6029,374
-28.65,-39.464,-9.241,-6.2888,375
-20.484,-24.603,-10.028,-3.1047,376
-35.242,-34.157,-34.312,-27.088,377
-55.845,-43.821,-47.275,-46.474,378
-63.312,-55.184,-55.936,-61.383,379
-51.251,-41.501,-47.297,-52.369,380
-36.139,-40.073,-27.245,-30.533,381
-18.687,-27.367,-10.652,-13.667,382
-33.464,-40.33,-15.07,-21.774,383
-32.709,-46.962,-7.1981,-20.833,384
-16.848,-23.266,6.5792,-11.545,385
-34.248,-38.461,-10.916,-28.493,386
-44.935,-52.463,-24.504,-33.967,387
-35.004,-55.719,-26.389,-29.623,388
-36.727,-44.622,-38.587,-39.535,389
-54.921,-61.567,-61.829,-54.71,390
-50.65,-51.333,-55.463,-44.884,391
-56.837,-59.212,-66.248,-56.247,392
-40.693,-39.759,-50.996,-46.141,393
-49.728,-55.44,-43.049,-40.329,394
-43.028,-49.685,-21.665,-19.389,395
-44.315,-56.451,-22.157,-16.323,396
-57.814,-68.521,-29.177,-18.973,397
-49.787,-63.742,-15.345,-3.701,398
-31.809,-54.337,4.901,15.858,399
-34.799,-60.744,-2.5766,10.224,400
-37.597,-74.896,-8.6091,7.6106,401
-37.565,-74.962,-7.6316,9.2367,402
-39.468,-74.724,-24.883,-11.302,403
-32.323,-57.483,-29.898,-20.282,404
-32.769,-62.986,-26.917,-15.386,405
-20.308,-49.74,-11.021,-0.135,406
-25.117,-54.703,-7.8053,-5.6229,407
-32.23,-42.831,-5.4979,-16.011,408
-48.364,-58.018,-27.478,-33.719,409
-46.592,-51.806,-28.307,-25.81,410
-58.956,-64.503,-41.249,-37.06,411
-57.848,-54.146,-38.111,-36.731,412
-62.537,-53.628,-46.32,-46.748,413
-58.483,-48.98,-50.221,-43.348,414
-48.67,-47.511,-44.546,-28.046,415
-30.276,-43.168,-22.191,-7.3181,416
-22.312,-33.915,-10.151,-0.72617,417
-26.346,-42.443,-18.281,-15.968,418
-15.628,-31.471,-17.708,-22.328,419
-2.0656,-22.778,-19.6,-21.373,420
9.8159,-2.7894,-14.008,-6.0474,421
9.4364,-15.209,-5.8344,7.0088,422
13.044,-3.2114,25.177,33.349,423
-9.8183,-25.905,26.806,35.63,424
-23.634,-31.86,16.021,19.022,425
-47.401,-45.1,-26.692,-26.941,426
-54.432,-43.768,-48.254,-41.957,427
-61.276,-50.082,-73.228,-57.841,428
-54.24,-34.175,-83.988,-57.939,429
-52.734,-34.049,-79.909,-53.617,430
-40.234,-30.002,-51.24,-37.068,431
-27.855,-16.765,-25.102,-20.937,432
-11.14,-14.677,-5.2994,-7.2137,433
10.209,-5.1849,19.088,14.162,434
25.27,-6.8384,34.913,29.906,435
31.455,4.1832,41.171,38.844,436
24.126,3.8847,33.047,31.804,437
15.945,4.5015,37.995,33.584,438
-11.047,-32.082,15.941,11.19,439
-6.1364,-19.159,9.5581,4.9637,440
-16.527,-27.299,-11.784,-17.716,441
-16.736,-24.773,-19.698,-28.314,442
-21.785,-35.872,-40.255,-38.278,443
-17.052,-22.797,-40.111,-32.656,444
-19.84,-28.113,-27.143,-25.944,445
-4.2375,-19.695,1.1677,-3.5135,446
10.636,1.2401,19.06,17.373,447
11.377,-16.027,22.725,28.339,448
16.469,-18.164,33.626,40.716,449
22.861,-15.676,37.166,44.034,450
21.85,-22.74,36.808,41.319,451
4.829,-36.056,15.974,20.837,452
-6.0684,-34.693,4.4399,7.2,453
-14.643,-48.401,-9.6519,-8.9253,454
-8.04,-37.988,-7.9815,-5.4947,455
-13.107,-47.15,-7.9318,-3.2846,456
-8.3329,-38.288,-0.96567,4.4648,457
-16.182,-52.116,-9.2316,-4.5334,458
-8.7205,-39.898,4.465,2.5439,459
-18.65,-50.663,-8.3737,-6.6117,460
-21.439,-54.788,-12.753,-5.6438,461
-20.035,-52.334,-3.0395,-1.0335,462
-16.729,-60.77,0.7806,0.8649,463
-25.255,-68.28,-7.7661,-5.879,464
-39.33,-82.429,-13.498,-8.9796,465
-43.969,-72.023,-13.374,-11.322,466
-51.319,-94.769,-20.982,-14.181,467
-46.557,-77.35,-17.705,-6.5501,468
-48.858,-83.589,-19.863,-8.821,469
-41.681,-79.205,-7.6861,3.2481,470
-54.141,-96.349,-22.74,-14.363,471
-42.23,-76.181,-13.295,-8.5736,472
-44.96,-86.123,-13.116,-10.966,473
-45.828,-77.228,-14.728,-12.746,474
6.4664,98.928,16.924,12.35,475
18.285,115.9,21.131,15.346,476
12.601,99.613,10.978,8.1587,477
16.719,118.84,15.889,11.718,478
8.1449,105.65,5.4109,0.65921,479
18.675,116.7,13.888,6.3212,480
12.661,101.91,3.5208,-0.23635,481
13.53,108.29,1.0486,1.0404,482
11.288,96.571,4.7966,1.5629,483
12.537,103.96,5.196,5.7523,484
11.833,103.34,4.3666,2.6081,485
12.115,112.66,6.2031,1.4932,486
7.588,119.27,1.2855,0.40274,487
7.7561,114.9,-0.34295,-0.39282,488
20.602,124.31,25.039,21.886,489
20.717,115.14,26.204,20.494,490
25.241,122.18,23.814,22.712,491
20.856,112.26,16.99,14.824,492
20.442,115.19,18.146,12.825,493
20.89,109.29,16.41,15.532,494
27.718,118.33,28.734,27.803,495
14.004,101.37,17.71,14.57,496
21.971,112.39,26.234,16.13,497
13.962,92.523,20.223,8.1825,498
16.007,90.746,28.016,16.829,499
15.228,95.066,31.733,18.17,500
12.729,90.882,30.026,17.349,501
16.561,100.33,34.859,21.492,502
